triple_id,subject,predicate,object,label_strict,label_relaxed,note
2113,低轨道卫星,相对地球是,非静止的，而是不停地围绕地球旋转,,,
926,局域网,特点包括,地理范围和站点数目有限,,,
36,本地站点单播地址,占IPv6地址总数的,1/1024,,,
1113,确认迟到,导致,发送方收到重复的确认,,,
188,TCP,是,面向连接的协议,,,
690,分组交换,需要,专门的管理和控制机制,,,
2809,吞吐量,表示,单位时间内通过某个网络的实际数据量,,,
1209,顶级域名服务器,告诉,本地域名服务器下一步应当向哪一个权限域名服务器进行查询,,,
1246,SDN,使得,网络管理更加高效,,,
838,SIP,是,会话发起协议,,,
1690,循环冗余检验CRC,是一种,广泛使用的检错技术,,,
2650,虚拟专用网VPN,使得,机构内部的通信更加安全,,,
710,分组交换,适合,计算机数据通信,,,
251,发送窗口,受到,网络拥塞程度的制约,,,
1445,多级结构的集线器以太网,导致,最大吞吐量降低,,,
1431,IEEE 802.3标准,规定,无效的MAC帧的三种情况,,,
2789,爱特信公司,创立者,张朝阳,,,
1823,物联网IoT,主要应用领域是,组成各种无线传感器网络,,,
25,IPv6,取消了,检验和字段,,,
983,混杂方式,允许适配器接收,所有在以太网上传输的帧,,,
1312,无源光网络PON,无须,配备电源,,,
399,TELNET,使用,客户服务器方式,,,
1743,IEEE 802.11i,努力解决,无线局域网的安全问题,,,
2127,UDP的首部开销,是,8个字节,,,
1776,全世界移动电话的普及率,达到,96.8%,,,
2974,TFTP,可用,在UDP环境中,,,
1137,累积确认,可能导致,发送方无法及时了解分组接收情况,,,
1515,调度机制,指,排队的规则,,,
2909,运输层,讨论,滑动窗口,,,
1173,顶级域名,由,ICANN进行管理,,,
98,IPv6,把,IP数据报的首部长度做成固定的,,,
3006,密码散列函数,具有,单向性,,,
1852,802.11数据帧,由,MAC首部、帧主体和帧检验序列FCS组成,,,
2808,带宽,指,网络中某通道传送数据的能力,,,
375,TCP,要求,接收方在缓存刚刚有了一点小的空间时不要急忙把这个很小的窗口大小信息通知给发送方,,,
2133,UDP,支持,多对一的通信,,,
1322,密钥分配,分为,三个步骤,,,
0,路由器,在收到数据报后,把TTL的值减1,,,
243,确认号字段,在SACK中,用法不变,,,
2201,MIME,包括,5个新的邮件首部字段,,,
1456,直通交换,不检查,差错就直接将帧转发出去,,,
1757,蓝牙5.0,数据率上限达,24 Mbit/s,,,
534,集成性,指,对多媒体信息进行存储、传输、处理、显示的能力,,,
1602,码元,是,代表不同离散数值的基本波形,,,
756,MPLS,采用,硬件技术对打上标签的IP数据报进行转发,,,
1579,SDH,基于,美国标准SONET,,,
840,SIP系统,包括,用户代理和网络服务器,,,
2242,归属代理,把B发来的数据报,进行再封装,,,
901,可靠传输协议,可以,实现可靠传输,,,
1721,FTP从属进程,负责,处理单个请求,,,
2420,本章,介绍,计算机网络安全问题的基本内容,,,
622,互联网,已成为,世界上最大的计算机网络,,,
964,以太网,规定,帧间最小间隔为9.6 µs,,,
3023,密钥分配,需要,通过最安全的通路进行,,,
1967,即时传信,允许,网上即时交换信息,,,
1411,应用进程,通过,套接字描述符进行网络操作,,,
885,TCP,可以,划分数据块,,,
2666,蜂窝无线通信网,最初用来,打电话,,,
1831,C SMA/CA协议,定义,数据和命令应怎样通过互联网,,,
602,TLS,包含,记录协议,,,
496,公钥,可以,用来加密,,,
1773,UWB技术,可支持,100~400 Mbit/s的数据率,,,
2665,蜂窝移动通信系统,又称为,小区制移动通信,,,
677,客户-服务器方式,是,互联网上最常用的通信方式,,,
48,理想的路由算法,应具有,稳定性,,,
2184,邮件服务器,需要使用,SMTP协议和POP3协议,,,
2930,运输层,提供,复用和分用功能,,,
1582,宽带接入技术,包括,有线宽带接入和无线宽带接入,,,
2149,伪首部,不是,UDP用户数据报真正的首部,,,
1107,TCP,依赖于,IP层传送报文段,,,
2915,运输层协议,属于,用户功能中的最低层,,,
405,NVT格式,定义为,所有通信使用8位一个字节,,,
2260,5G,特点,支持高质音频和视频传输和高速移动互联网业务,,,
182,全局同步,导致,全网的通信量突然下降了很多,,,
2500,分组的首部,需要填写,虚电路的编号,,,
2401,篡改攻击,也称为,更改报文流,,,
2235,外地代理,是,连接在被访网络上的路由器,,,
1444,多级结构的集线器以太网,带来,跨系的通信和扩大以太网覆盖的地理范围,,,
2727,UDP,提供,无连接的尽最大努力的数据传输服务,,,
1923,媒体服务器,也称为,流式服务器,,,
2002,PPP协议,使用,零比特填充方法,,,
1386,应用层,包含,远程登录协议,,,
966,集线器,特点为,简单地转发比特,,,
1430,以太网,在传送帧时,各帧之间还必须有一定的间隙,,,
1888,多媒体信息,包括,声音和图像信息,,,
1298,GPON,是,吉比特无源光网络,,,
2547,地址掩码,又称为,子网掩码,,,
2963,服务器程序,使用,熟知端口以便互联网上所有的客户程序能找到,,,
2482,本章,讨论,几种常用的路由选择协议,,,
1261,ADSL,使用,高端频谱留给用户上网使用,,,
200,TCP客户进程,在打算建立TCP连接时,进入SYN-SENT状态,,,
2173,简单邮件传送协议SMTP,是,电子邮件的草案标准之一,,,
2664,超宽带UWB技术,工作在,3.1~10.6 GHz微波频段,,,
609,防火墙,作为,访问控制技术,,,
1242,MPLS,包含,标签值、实验、S位和TTL四个字段,,,
18,IPv6首部,改为,8字节对齐,,,
1897,播放时延T,定义为,从最初的分组开始到达缓存算起，经过时间T后就按固定时间间隔把缓存中的分组按先后顺序依次读出,,,
445,Java,用于,创建和运行活动文档,,,
739,DHCP,允许,计算机加入新的网络和获取IP地址而不用手工参与,,,
2366,分组过滤路由器,根据,过滤规则对进出内部网络的分组执行转发或者丢弃,,,
3020,中间人攻击,是,一种攻击方式，攻击者截获并转发通信双方的信息,,,
160,DHT,利用,散列函数把资源名及其存放的节点IP地址映射为标识符,,,
2698,S-GW,负责,用户层面的数据分组的转发和路由选择,,,
400,TELNET服务器,等待,新的请求,,,
2686,3G UMTS,把移动站称为,用户设备UE,,,
569,中间CA2,给,用户签发用户证书,,,
87,反向路径广播RPB,要点是,每一个路由器在收到一个多播数据报时，先检查数据报是否是从源点经最短路径传送来的,,,
2594,IPv6,是,IP的新版本,,,
1661,适配器,连接,主机和数据链路层,,,
363,TCP,涉及,所有的主机、所有的路由器，以及与降低网络传输性能有关的所有因素,,,
1735,接入点AP,总是处于,活跃状态,,,
1169,域名,不区分,大小写字母,,,
2020,第2章,讨论,物理层的基本概念,,,
2071,电信领域,使用的,电磁波的频谱,,,
1036,波分复用,通过,改变光载波的波长实现,,,
2507,SDN,是,软件定义网络,,,
614,互联网,提供,服务器存储的电子文档,,,
1302,通信,传送,消息,,,
1267,DSLAM,包括,许多ADSL调制解调器,,,
2563,网际控制报文协议ICMP,用于,更有效地转发IP数据报和提高交付成功的机会,,,
1650,数据链路层,要解决,透明传输的问题,,,
72,多播路由器,需要,和互联网上的其他多播路由器协同工作,,,
3007,密码散列函数,应具有,抗碰撞性,,,
2811,时延,指,数据从网络一端传送到另一端所需的时间,,,
82,多播转发树,要找出,以源主机为根节点的多播转发树,,,
1155,hosts文件,列出,所有主机名字和相应的IP地址,,,
1403,AT&T,定义了,TLI (Transport Layer Interface),,,
946,动态媒体接入控制,又称为,多点接入,,,
21,IPv6,取消了,总长度字段,,,
1693,传输差错,可分为,比特差错和帧丢失、帧重复或帧失序,,,
1964,光盘销售商店,受到,流式媒体的冲击,,,
1764,ZigBee,是,低速WPAN中最重要的技术,,,
2068,传输媒体,称为,传输介质或传输媒介,,,
503,NIST,进行,高级加密标准的遴选,,,
504,NSA,认为,对最高机密信息的传递至少需要192或256位的密钥长度,,,
2042,传输媒体,不属千,物理层的范围,,,
430,内容分发网络CDN,由,代理服务器方式构成,,,
992,IEEE 802.3标准,规定,无效的MAC帧条件,,,
2696,核心网EPC,由,用户层面和控制层面组成,,,
708,路由器,必须,经常交换路由信息以维护路由表,,,
1128,TCP,依赖于,IP层的不可靠传输服务,,,
1854,帧控制字段,共分为,11个子字段,,,
1212,DNS查询效率,通过,高速缓存提高,,,
2591,IP地址耗尽,导致,IANA停止向地区互联网注册机构RIR分配IPv4地址,,,
2186,SMTP客户,与,SMTP服务器建立TCP连接,,,
2559,IP数据报,在,互联网中传送和转发是基于分组首部中的目的地址的,,,
1504,SIP代理,用于,跟踪被叫方的机制,,,
1199,权限域名服务器,负责,一个区的域名服务器,,,
1972,帧重复,指,收到[#1]-[#2]-[#2]-[#3]（收到两个[#2]）,,,
64,多播地址,只能用于,目的地址,,,
532,高质量立体声音乐CD信息,使用,PCM编码,,,
2912,运输层,讨论,连接管理,,,
2672,GSM系统,使用,数字技术,,,
1253,用户,通过,调制解调器连接到ISP,,,
552,IP电话,是,交互式音频/视频通信的一种,,,
1506,SDP,详细地指明了,媒体编码、协议的端口号以及多播地址,,,
856,Skype,用户增长速度,每天超过15万用户,,,
45,理想的路由算法,应具有,正确性和完整性,,,
2566,ICMP,不是,高层协议,,,
2573,ICMP报文的代码字段,用于,进一步区分某种类型中的几种不同情况,,,
1616,信道极限容量,受,信道能通过的频率范围和信噪比影响,,,
2114,物理层,考虑的是,如何在连接各种计算机的传输媒体上传输数据比特流,,,
2706,易管理和维护,指,网络如果没有良好的管理和维护，很难达到和保持所设计的性能,,,
2652,网络地址转换NAT,使得,专用网内的主机可以使用有限数量的全球IP地址访问互联网,,,
135,Napster用户,下载,MP3文件的过程是P2P方式,,,
2577,参数问题,是,当路由器或目的主机收到的数据报的首部中有的字段的值不正确时发送的报文,,,
2993,TELNET,允许,选项协商,,,
1424,前同步码,使,接收端的适配器在接收MAC帧时能够迅速调整其时钟频率,,,
346,TCP,规定,即使设置为零窗口，也必须接收特定的报文段,,,
1310,高速数字传输系统,使用,同步光纤网SONET或同步数字系列SDH,,,
1887,互联网,提供,音频/视频服务,,,
1832,NVT,是,网络虚拟终端,,,
394,TELNET,通过,TCP连接注册到远地主机,,,
1578,ITU-T,制定出,国际标准同步数字系列SDH,,,
2370,应用网关,也称为,代理服务器,,,
2914,运输层协议,属于,面向通信部分的最高层,,,
852,互联网,提供,尽最大努力交付的服务,,,
2543,E类地址,是,保留地址,,,
2919,IP协议,不能,交付主机中的应用进程,,,
821,G.723.1,是,5.3/6.3 kbit/s的线性预测编码声码器,,,
1948,即时传信,允许,在网上即时交换信息,,,
2620,远程接入VPN,满足,流动员工在外地工作时与公司保持联系的需求,,,
1120,TCP首部,包括,固定部分和选项部分,,,
55,IP多播,支持,一对多的通信,,,
2892,OpenFlow协议,用于,远程控制器通过安全信道管理OpenFlow交换机中的流表,,,
1535,确保转发PHB,提供,最低数量的带宽和缓存空间,,,
2572,ICMP询问报文,包括,回送请求或回送回答和时间戳请求或时间戳回答,,,
2602,ICMP报文,具有,统一的格式,,,
2369,分组过滤,可以是,有状态的,,,
598,HTTPS,表示,使用TLS协议的HTTP,,,
1606,双向同时通信,又称为,全双工通信,,,
832,H.323,是,ITU-T制定的在局域网上传送话音信息的建议书,,,
1009,时分复用TDM,将时间划分为,一段段等长的时分复用帧,,,
1534,迅速转发PHB,构造,低丢失率、低时延、低时延抖动、确保带宽的端到端服务,,,
1709,域名服务器,维护,存放自己最近使用的域名的高速缓存,,,
1007,复用技术,允许,多个用户共享信道资源,,,
366,拥塞,往往是由,很多因素引起的,,,
1538,媒体服务器,支持,流式音频和视频的传送,,,
1464,以太网,采用,全双工方式工作,,,
2300,DHCP客户,必须,停止使用原来的IP地址,,,
